Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
25,1,49,4,1.6,Undergrad,0,yes,no,no,no,no
45,19,34,3,1.5,Undergrad,0,yes,no,no,no,no
39,15,11,1,1,Undergrad,0,no,no,no,no,no
35,9,100,1,2.7,Graduate,0,no,no,no,no,no
35,8,45,4,1,Graduate,0,no,no,no,yes,no
37,13,29,4,0.4,Graduate,155,no,no,yes,no,no
53,27,72,2,1.5,Graduate,0,no,no,yes,no,no
50,24,22,1,0.3,Professional,0,no,no,no,yes,no
35,10,81,3,0.6,Graduate,104,no,no,yes,no,no
34,9,180,1,8.9,Professional,0,no,no,no,no,yes
65,39,105,4,2.4,Professional,0,no,no,no,no,no
29,5,45,3,0.1,Graduate,0,no,no,yes,no,no
48,23,114,2,3.8,Professional,0,yes,no,no,no,no
59,32,40,4,2.5,Graduate,0,no,no,yes,no,no
67,41,112,1,2,Undergrad,0,yes,no,no,no,no
60,30,22,1,1.5,Professional,0,no,no,yes,yes,no
38,14,130,4,4.7,Professional,134,no,no,no,no,yes
42,18,81,4,2.4,Undergrad,0,no,no,no,no,no
46,21,193,2,8.1,Professional,0,no,no,no,no,yes
55,28,21,1,0.5,Graduate,0,yes,no,no,yes,no
56,31,25,4,0.9,Graduate,111,no,no,yes,no,no
57,27,63,3,2,Professional,0,no,no,yes,no,no
29,5,62,1,1.2,Undergrad,260,no,no,yes,no,no
44,18,43,2,0.7,Undergrad,163,yes,no,no,no,no
36,11,152,2,3.9,Undergrad,159,no,no,no,yes,no
43,19,29,3,0.5,Undergrad,97,no,no,yes,no,no
40,16,83,4,0.2,Professional,0,no,no,no,no,no
46,20,158,1,2.4,Undergrad,0,no,no,yes,yes,no
56,30,48,1,2.2,Professional,0,no,no,yes,yes,no
38,13,119,1,3.3,Graduate,0,no,yes,yes,yes,yes
59,35,35,1,1.2,Professional,122,no,no,yes,no,no
40,16,29,1,2,Graduate,0,no,no,yes,no,no
53,28,41,2,0.6,Professional,193,no,no,no,no,no
30,6,18,3,0.9,Professional,0,no,no,no,no,no
31,5,50,4,1.8,Professional,0,no,no,yes,no,no
48,24,81,3,0.7,Undergrad,0,no,no,no,no,no
59,35,121,1,2.9,Undergrad,0,no,no,no,yes,no
51,25,71,1,1.4,Professional,198,no,no,no,no,no
42,18,141,3,5,Professional,0,yes,yes,yes,no,yes
38,13,80,4,0.7,Professional,285,no,no,yes,no,no
57,32,84,3,1.6,Professional,0,yes,no,no,no,no
34,9,60,3,2.3,Undergrad,0,no,no,no,no,no
32,7,132,4,1.1,Graduate,412,no,no,yes,no,yes
39,15,45,1,0.7,Undergrad,0,no,no,yes,no,no
46,20,104,1,5.7,Undergrad,0,no,no,yes,yes,no
57,31,52,4,2.5,Undergrad,0,no,no,no,yes,no
39,14,43,3,0.7,Graduate,153,no,no,yes,no,no
37,12,194,4,0.2,Professional,211,yes,yes,yes,yes,yes
56,26,81,2,4.5,Professional,0,no,no,no,yes,no
40,16,49,1,1.8,Undergrad,0,no,no,no,yes,no
32,8,8,4,0.7,Graduate,0,yes,no,yes,no,no
61,37,131,1,2.9,Undergrad,0,no,no,yes,no,no
30,6,72,1,0.1,Undergrad,207,no,no,no,no,no
50,26,190,3,2.1,Professional,240,no,no,yes,no,yes
